id,kategori,sub_kategori,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunci
1,Potensi Psikologis,Penalaran Numerik,"(Kelurahan A) Jika 8 pekerja menyelesaikan perbaikan bangunan sederhana dalam 12 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",18 hari,14 hari,20 hari,16 hari,D
2,Potensi Psikologis,Penalaran Numerik,"(Kelurahan B) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",16 hari,20 hari,22 hari,18 hari,D
3,Potensi Psikologis,Berpikir Sistem,"(Kelurahan C) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Mengoptimalkan komponen termudah terlebih dahulu,Menunda keputusan sampai semua data sempurna,Fokus satu komponen dan abaikan lainnya,A
4,Potensi Psikologis,Berpikir Sistem,"(Kecamatan X) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Mengoptimalkan komponen termudah terlebih dahulu,Fokus satu komponen dan abaikan lainnya,A
5,Potensi Psikologis,Penalaran Verbal,(Kecamatan Y) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,A
6,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
7,Potensi Psikologis,Penalaran Numerik,"(Desa 1) Jika 12 pekerja menyelesaikan pembangunan rumah dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",22 hari,20 hari,16 hari,18 hari,D
8,Potensi Psikologis,Penalaran Verbal,(Desa 2) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,B
9,Potensi Psikologis,Penalaran Numerik,"(Desa 3) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",20 hari,22 hari,16 hari,18 hari,D
10,Potensi Psikologis,Berpikir Sistem,"(Desa 4) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Mengoptimalkan komponen termudah terlebih dahulu,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,C
11,Potensi Psikologis,Berpikir Sistem,"(Kelurahan A) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menunda keputusan sampai semua data sempurna,Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Mengoptimalkan komponen termudah terlebih dahulu,C
12,Potensi Psikologis,Penalaran Verbal,(Kelurahan B) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,B
13,Potensi Psikologis,Berpikir Sistem,"(Kelurahan C) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Mengoptimalkan komponen termudah terlebih dahulu,B
14,Potensi Psikologis,Penalaran Numerik,"(Kecamatan X) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",16 hari,20 hari,18 hari,22 hari,C
15,Potensi Psikologis,Penalaran Verbal,(Kecamatan Y) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,D
16,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menjalankan salah satu penugasan tanpa komunikasi,C
17,Potensi Psikologis,Berpikir Sistem,"(Desa 1) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Mengoptimalkan komponen termudah terlebih dahulu,Fokus satu komponen dan abaikan lainnya,Menunda keputusan sampai semua data sempurna,A
18,Potensi Psikologis,Penalaran Numerik,"(Desa 2) Jika 12 pekerja menyelesaikan pembangunan rumah dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",22 hari,20 hari,16 hari,18 hari,D
19,Potensi Psikologis,Berpikir Sistem,"(Desa 3) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Mengoptimalkan komponen termudah terlebih dahulu,B
20,Potensi Psikologis,Penalaran Numerik,"(Desa 4) Jika 6 pekerja menyelesaikan perbaikan bangunan sederhana dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",20 hari,22 hari,18 hari,16 hari,C
